Year,International Name,PAGASA Name
2000,N/A,Konsing
2000,Kai-tak,Edeng
2000,N/A,Gloring
2000,N/A,Huaning
2000,Bilis,Isang
2000,Bopha,Ningning
2000,Xangsane,Reming
2000,Bebinca,Seniang
2000,Rumbia,Toyang
2000,N/A,Ulpiang
2001,N/A,Auring
2001,Cimaron,Crising
2001,Chebi,Emong
2001,Utor,Feria
2001,Trami,Gorio
2001,Toraji,Isang
2001,Lekima,Labuyo
2001,Lingling,Nanang
2001,Kajiki,Quedan
2002,Tapah,Agaton
2002,N/A,Caloy
2002,Rammasun,Florita
2002,Nakri,Hambalos
2002,Halong,Inday
2002,N/A,Juan
2002,N/A,Milenyo
2003,Kujira,Amang
2003,Linfa,Chedeng
2003,Nangka,Dodong
2003,Soudelor,Egay
2003,Koni,Gilas
2003,Imbudo,Harurot
2003,Morakot,Juaning
2003,Krovanh,Niña
2003,Dujuan,Onyok
2003,N/A,Ursula
2003,Melor,Viring
2003,Nepartak,Weng
2003,N/A,Zigzag
2004,Nida,Dindo
2004,Conson,Frank
2004,Chanthu,Gener
2004,Mindulle,Igme
2004,Kompasu,Julian
2004,N/A,Pablo
2004,Muifa,Unding
2004,Merbok,Violeta
2004,N/A,Winnie
2004,Nanmadol,Yoyong
2005,Roke,Auring
2005,N/A,Crising
2005,N/A,Emong
2005,Sanvu,Huaning
2005,Damrey,Labuyo
2005,Tembin,Ondoy
2005,Bolaven,Pepeng
2006,N/A,Agaton
2006,Chanchu,Caloy
2006,Bilis,Florita
2006,Kaemi,Glenda
2006,Prapiroon,Henry
2006,Bopha,Inday
2006,Xangsane,Milenyo
2006,Cimaron,N/A
2006,Chebi,Queenie
2006,Durian,Reming
2006,Utor,Seniang
2007,Pabuk,Chedeng
2007,Wutip,Dodong
2007,Sepat,Egay
2007,Wipha,Goring
2007,N/A,Hanna
2007,Peipah,Kabayan
2007,Hagibis,Lando
2007,Mitag,Mina
2008,Neoguri,Ambo
2008,Rammasun,Butchoy
2008,Halong,Cosme
2008,Fengshen,Frank
2008,N/A,Gener
2008,Kalmaegi,Helen
2008,Fung-wong,Igme
2008,N/A,Julian
2008,Nuri,Karen
2008,N/A,Lawin
2008,Sinlaku,Marce
2008,Hagupit,Nina
2008,Higos,Pablo
2008,Maysak,Quinta
2008,N/A,Rolly
2008,N/A,Siony
2009,N/A,Auring
2009,N/A,Bising
2009,N/A,Crising
2009,Kujira,Dante
2009,Chan-hom,Emong
2009,Nangka,Feria
2009,N/A,Gorio
2009,Molave,Isang
2009,N/A,Jolina
2009,Morakot,Kiko
2009,N/A,Maring
2009,Koppu,Nando
2009,Ketsana,Ondoy
2009,Parma,Pepeng
2009,Mirinae,Santi
2009,N/A,Urduja
2010,Conson,Basyang
2010,N/A,Caloy
2010,Domeng,N/A
2010,Megi,Juan
2011,Aere,Bebeng
2011,Songda,Chedeng
2011,Meari,Falcon
2011,Nock-ten,Juaning
2011,N/A,Lando
2011,Nanmadol,Mina
2011,Nesat,Pedring
2011,Nalgae,Quiel
2011,Banyan,Ramon
2011,Washi,Sendong
2012,Mawar,Ambo
2012,Guchol,Butchoy
2012,N/A,Ferdie
2012,Saola,Gener
2012,Kai-tak,Helen
2012,Tembin,Igme
2012,Jelawat,Lawin
2012,Gaemi,Marce
2012,Son-Tinh,Ofel
2012,Bopha,Pablo
2012,Wukong,Quinta
2013,N/A,Auring
2013,N/A,Bising
2013,N/A,Crising
2013,Yagi,Dante
2013,Leepi,Emong
2013,N/A,Fabian
2013,Rumbia,Gorio
2013,Cimaron,Isang
2013,Utor,Labuyo
2013,Trami,Maring
2013,Usagi,Odette
2013,Nari,Santi
2013,Krosa,Vinta
2013,N/A,Wilma
2013,Haiyan,Yolanda
2013,N/A,Zoraida
2014,Lingling,Agaton
2014,Kajiki,Basyang
2014,N/A,Caloy
2014,Mitag,Ester
2014,Rammasun,Glenda
2014,Kalmaegi,Luis
2014,Fung-wong,Mario
2014,N/A,Queenie
2014,Hagupit,Ruby
2014,Jangmi,Seniang
2015,Mekkhala,Amang
2015,Maysak,Chedeng
2015,Noul,Dodong
2015,Linfa,Egay
2015,Goni,Ineng
2015,Mujigae,Kabayan
2015,Koppu,Lando
2015,Melor,Nona
2015,N/A,Onyok
2016,N/A,Ambo
2016,Nida,Carina
2016,Meranti,Ferdie
2016,Sarika,Karen
2016,Haima,Lawin
2016,Tokage,2016
2016,Nock-ten,Nina
2017,N/A,Auring
2017,N/A,Crising
2017,Nesat,Gorio
2017,Pakhar,Jolina
2017,Doksuri,Maring
2017,Khanun,Odette
2017,Damrey,Ramil
2017,Haikui,Salome
2017,Kai-tak,Urduja
2017,Tembin,Vinta
2018,Bolaven,Agaton
2018,Sanba,Basyang
2018,Maliksi,Domeng
2018,Gaemi,Ester
2018,N/A,Josie
2018,Barijat,Neneng
2018,Mangkhut,Ompong
2018,Yutu,Rosita
2018,N/A,Samuel
2018,N/A,Usman
2019,N/A,Amang
2019,N/A,Chedeng
2019,Danas,Falcon
2019,Lekima,Hanna
2019,Bailu,Ineng
2019,N/A,Jenny
2019,Lingling,Liwayway
2019,Mitag,Onyok
2019,Nakri,Quiel
2019,Kalmaegi,Ramon
2019,Kammuri,Tisoy
2019,Phanfone,Ursula
2020,Vongfong,Ambo
2020,N/A,Butchoy
2020,N/A,Carina
2020,Mekkhala,Ferdie
2020,N/A,Ofel
2020,Saudel,Pepito
2020,Molave,Quinta
2020,Goni,Rolly
2020,Atsani,Siony
2020,Vamco,Ulysses
2020,N/A,Vicky
2021,N/A,Tropical Depression
2021,Dujuan,Auring
2021,Surigae,Bising
2021,Crising,N/A
2021,Choi-wan,Dante
2021,Conson,Jolina
2021,Chanthu,Kiko
2021,Kompasu,Maring
2021,Rai,Odette
2022,Megi,Agaton
2022,Ma-on,Florita
2022,Noru,Karding
2022,N/A,Maymay
2022,Nesat,Neneng
2022,N/A,Obet
2022,Nalgae,Paeng
2022,Banyan,Queenie
2022,Pakhar,Rosal
2023,N/A,Amang
2023,Mawar,Betty
2023,Guchol,Chedeng
2023,Talim,Dodong
2023,Doksuri,Egay
2023,Saola,Goring
2023,Koinu,Jenny
2023,Jelawat,Kabayan
2024,Ewiniar,Aghon
2024,Gaemi,Carina
2024,Prapiroon,Butchoy
2024,Yagi,Enteng
2024,Soulik,Gener
2024,Krathon,Julian
2024,Trami,Kristine
2024,Kong-rey,Leon
2024,Yinxing,Marce
2024,Toraji,Nika
2024,Usagi,Ofel
2024,Man-yi,Pepito
2025,Wipha,Crising
2025,Co-may,Emong
2025,Kajiki,Isang
2025,Tapah,Lannie
2025,Mitag,Mirasol
2025,Ragasa,Nando
2025,Bualoi,Opong
2025,Kalmaegi,Tino
2025,Fung-wong,Uwan
